name,text,likes,comments,hashtag,question_mark,emoji,average_length,clean_text,followers,response
"Ann Price (she, her, hers)",It's almost Q4. Is your organization ready to build the evaluation strategy you need to change your community? https://bit.ly/3QReJLn #community #change #strategy #evaluation #coalition #nonprofit,0,0,6,1,0,6.6,It's almost Q4. Is your organization ready to build the evaluation strategy you need to change your community?       ,606,0
"Ann Price (she, her, hers)","Hi everyone-

Office hours are tomorrow. Sharing the correct registration link.

https://bit.ly/3BGkO7L

Come with your Qs!

Ann",0,0,0,0,0,5.666666667,"Hi everyone-

Office hours are tomorrow. Sharing the correct registration link.



Come with your Qs!

Ann",606,0
"Ann Price (she, her, hers)","A year ago, it was only something on my vision board. Now my podcast lets me meet amazing #nonprofit #foundation and #community leaders like Jessica Nunan of Caminar Latino. Listen, be challenged and inspired.  https://communityevaluationsolutions.com/podcast",1,0,3,0,0,6.055555556,"A year ago, it was only something on my vision board. Now my podcast lets me meet amazing   and  leaders like Jessica Nunan of Caminar Latino. Listen, be challenged and inspired.  ",606,0.001650165
"Ann Price (she, her, hers)","New #podcast episode! Jessica Nunan of 
@CaminarLatino
 joined me on Community Possibilities to share their journey as  Georgia’s first and only comprehensive domestic violence intervention program for Latino families. Thank you Jessica! https://communityevaluationsolutions.com/podcast #peace #equity",0,0,3,0,0,7.45,"New  episode! Jessica Nunan of 

 joined me on Community Possibilities to share their journey as  Georgia’s first and only comprehensive domestic violence intervention program for Latino families. Thank you Jessica!   ",606,0
"Ann Price (she, her, hers)","Office hours for #new and emerging #eval #consultants this Friday at 11 AM EST. I am in the hot seat. Bring your q’s, successes, and places where you are stuck. 
Register to attend Bitly Link: https://bit.ly/3JQQYjP #evaluation #consulting #entrepreneurmind",0,0,6,0,0,5.3125,"Office hours for  and emerging   this Friday at 11 AM EST. I am in the hot seat. Bring your q’s, successes, and places where you are stuck. 
Register to attend Bitly Link:    ",606,0
"Ann Price (she, her, hers)",Sometimes you just need to start all over.,2,0,0,0,0,6,Sometimes you just need to start all over.,606,0.00330033
"Ann Price (she, her, hers)","OMG, it's really happening. Our book will be published in May in the UK (available in the US electronically) and in July in the US. We did it 
@SusanWolfeAssoc
! #community #communityengagement #communityleadership #evaluation #coalitions #communitypsychology #consulting",8,0,7,0,0,5.583333333,"OMG, it's really happening. Our book will be published in May in the UK (available in the US electronically) and in July in the US. We did it 

!       ",606,0.01320132
"Ann Price (she, her, hers)","""You make evaluation accessible"" a #coalition leader told me last week. Made. My. Day. Not sure where to start? Try my Evaluation Capacity Tool https://bit.ly/3PuPcql #evaluation #community #prevention",0,0,4,1,0,5.533333333,"""You make evaluation accessible"" a  leader told me last week. Made. My. Day. Not sure where to start? Try my Evaluation Capacity Tool    ",606,0
"Ann Price (she, her, hers)","Thank you to whoever recommened this book to me. ""Bringing a simple solution to a complex behavioral challenge almost never works."" #coalition #systemsthinking #systemschange #evaluation",3,0,4,0,0,6.923076923,"Thank you to whoever recommened this book to me. ""Bringing a simple solution to a complex behavioral challenge almost never works.""    ",606,0.004950495
"Ann Price (she, her, hers)","Thanks to our 
@aeaweb
 Summer Institute attendees who came to our follow-up session yesterday. 
@SusanWolfeAssoc
 and I loved seeing you. We had a great conversation on specific ways to measure #systemschange #partnerships #collaboration . See you at our workshop at #Eval22 in NOLA!",1,0,4,0,0,6.666666667,"Thanks to our 

 Summer Institute attendees who came to our follow-up session yesterday. 

 and I loved seeing you. We had a great conversation on specific ways to measure    . See you at our workshop at  in NOLA!",606,0.001650165
"Ann Price (she, her, hers)",Yes please!,1,0,0,0,0,4.5,Yes please!,606,0.001650165
"Ann Price (she, her, hers)","Is evaluation chore that thing that you, #nonprofit #coalition can't get to? I get it. Read the full blog here: https://bit.ly/3eBeOFc #evaluation #keepitsimple",1,0,4,1,0,4.666666667,"Is evaluation chore that thing that you,   can't get to? I get it. Read the full blog here:   ",606,0.001650165
"Ann Price (she, her, hers)","Made my day to hear this on my walk this morning. Yay and welcome back! and thanks for the shout out 
@c_camman
 and 
@StrongRoots_SK",5,0,0,0,0,4.7,"Made my day to hear this on my walk this morning. Yay and welcome back! and thanks for the shout out 

 and 
",606,0.008250825
"Ann Price (she, her, hers)",One of my workshop attendees last week asked me how to move their coalition from “just meeting” to accomplishing work. Great question! Here are 3 tips for you. Curious? Check out my new blog. #Coalitions #collaboratives #systemschange https://communityevaluationsolutions.com/blog,1,0,3,1,0,5.888888889,One of my workshop attendees last week asked me how to move their coalition from “just meeting” to accomplishing work. Great question! Here are 3 tips for you. Curious? Check out my new blog.    ,606,0.001650165
"Ann Price (she, her, hers)","Office hours for #new and emerging #eval #consultants this Friday at 11 AM EST. Bring your q’s, successes, and places where you are stuck. 

Register to attend Bitly Link: https://bit.ly/3JQQYjP #evaluation #consulting #entrepreneurmind",2,0,6,0,0,5.571428571,"Office hours for  and emerging   this Friday at 11 AM EST. Bring your q’s, successes, and places where you are stuck. 

Register to attend Bitly Link:    ",606,0.00330033
"Ann Price (she, her, hers)","Calling all my #eval friends. My biz coach, Tracey Snoyer has a new coaching program just for us. Tracey has been my coach for the last 1 1/2 years and helped me make a major shift. Here is the link for more information: https://cascadeall.com/october-2022-evaluators-group.html… 
Feel free to DM me.",1,0,1,0,0,5.173913043,"Calling all my  friends. My biz coach, Tracey Snoyer has a new coaching program just for us. Tracey has been my coach for the last 1 1/2 years and helped me make a major shift. Here is the link for more information:  
Feel free to DM me.",606,0.001650165
"Ann Price (she, her, hers)",NO Office hours THIS Friday. But will see you on 9/9 at 11 AM EST.,1,0,0,0,0,4.6,NO Office hours THIS Friday. But will see you on 9/9 at 11 AM EST.,606,0.001650165
"Ann Price (she, her, hers)",It’s a wrap. Grateful for engaging participants. Teaching building strong coalitions at #GSAS2022. #coalitions #evaluation #community,1,0,4,0,0,8,It’s a wrap. Grateful for engaging participants. Teaching building strong coalitions at .   ,606,0.001650165
"Ann Price (she, her, hers)",Excited to be attending and presenting at the GA School of Addition Studies. Addiction is a series medical condition.  #prevention works. #recovery is possible. #gapol #garecovers #GSA2022,0,0,5,0,0,7.153846154,Excited to be attending and presenting at the GA School of Addition Studies. Addiction is a series medical condition.   works.  is possible.   ,606,0
"Ann Price (she, her, hers)",Looking forward to seeing prevention specialists from all over Georgia at the Georgia School of Addiction Studies next week in Savannah. Join me for a dynamic workshop on Building Strong https://thegeorgiaschool.org  #Coalitions #substanceabuseawareness #preventionsaveslives,0,0,3,0,0,7,Looking forward to seeing prevention specialists from all over Georgia at the Georgia School of Addiction Studies next week in Savannah. Join me for a dynamic workshop on Building Strong     ,606,0
Viable Insights,"With Ann and her Simple Spreadsheets course, you'll master a step-by-step process for exploring, cleaning, analyzing, and tabulating your dataset. These spreadsheet skills will save your time, energy, and sanity. Register today by clicking the link below!
https://depictdatastudio.teachable.com/?affcode=202644_ctikeudw…",3,0,0,1,0,6.956521739,"With Ann and her Simple Spreadsheets course, you'll master a step-by-step process for exploring, cleaning, analyzing, and tabulating your dataset. These spreadsheet skills will save your time, energy, and sanity. Register today by clicking the link below!
",189,0.015873016
Viable Insights,"Sign up for our newsletters to read about the behind the scenes of our work. Simply scroll to the very bottom of our website and put in your email to subscribe.
Already signed up? Keep an eye on your email!",0,0,0,1,0,5.666666667,"Sign up for our newsletters to read about the behind the scenes of our work. Simply scroll to the very bottom of our website and put in your email to subscribe.
Already signed up? Keep an eye on your email!",189,0
Viable Insights,"Whether assessing the effectiveness of a training initiative or evaluating the influence of a systems change project — we’re here to help you vision, design, implement, and derive insights!",2,0,0,0,0,7.8125,"Whether assessing the effectiveness of a training initiative or evaluating the influence of a systems change project — we’re here to help you vision, design, implement, and derive insights!",189,0.010582011
Viable Insights,"If you are ready to use data in your day-to-day work, but don't quite have the infrastructure or organizational buy-in to make it happen, we can help! We'll work with you to develop processes/databases to help your team share and use data more effectively in your work.",1,0,0,0,0,6.166666667,"If you are ready to use data in your day-to-day work, but don't quite have the infrastructure or organizational buy-in to make it happen, we can help! We'll work with you to develop processes/databases to help your team share and use data more effectively in your work.",189,0.005291005
Viable Insights,Nothing makes us feel better and more energized for this work than hearing the stories of our partners!,1,0,0,0,0,5.9,Nothing makes us feel better and more energized for this work than hearing the stories of our partners!,189,0.005291005
Viable Insights,"We see you and we appreciate you for all of your hard work.
Happy Labor Day!",1,0,0,0,0,4.857142857,"We see you and we appreciate you for all of your hard work.
Happy Labor Day!",189,0.005291005
Viable Insights,Truth,5,0,0,0,0,5,Truth,189,0.026455026
Viable Insights,"Happy National Dog day
A special shoutout to all the pups out there who stay quiet during virtual meetings!

#nationaldogday",2,0,1,0,0,5.636363636,"Happy National Dog day
A special shoutout to all the pups out there who stay quiet during virtual meetings!

",189,0.010582011
Viable Insights,"You can read all about incentivizing participation in research in part 3 of the VIRB blog series today!
https://viableinsights.com/2022/08/17/should-you-incentivize-participation-in-research/…",0,0,0,0,0,6.777777778,"You can read all about incentivizing participation in research in part 3 of the VIRB blog series today!
",189,0
Viable Insights,"Guilty...

#dataviz #Data",0,0,2,0,0,6,"Guilty...

 ",189,0
Viable Insights,"Although Viable Insights is a Tucson-based organization, our work extends far beyond the boarders of Arizona. We have effectively partnered with organizations across the U.S., and are confident we can help your team regardless of where you are geographically.",1,0,0,0,0,7.714285714,"Although Viable Insights is a Tucson-based organization, our work extends far beyond the boarders of Arizona. We have effectively partnered with organizations across the U.S., and are confident we can help your team regardless of where you are geographically.",189,0.005291005
Nicole Clark Consulting,"From food safety to understanding mental health and addiction recovery, how will you raise your voice for women and girls of color in September?

Share what you're doing this month and find more awareness observances at http://nicoleclarkconsulting.com/awareness-day-finder/…",1,0,0,1,0,6.578947368,"From food safety to understanding mental health and addiction recovery, how will you raise your voice for women and girls of color in September?

Share what you're doing this month and find more awareness observances at ",3531,0.000283206
Nonprofit.ist,"The 2022 Fall Nonprofit Learning Series looks at the topic of designing learning spaces for belonging through three lenses: racial equity, accessibility, and culture & language inclusivity. Take a look at the sessions & register now -->",1,0,0,0,0,7.045454545,"The 2022 Fall Nonprofit Learning Series looks at the topic of designing learning spaces for belonging through three lenses: racial equity, accessibility, and culture & language inclusivity. Take a look at the sessions & register now -->",151,0.006622517
Nonprofit.ist,A number of great http://Nonprofit.ist experts are taking part in this free summit. Make sure you sign up now! --> http://nonprofsummit.com,0,0,0,0,0,5,A number of great  experts are taking part in this free summit. Make sure you sign up now! --> ,151,0
Nonprofit.ist,"Do you know the difference between RFPs, RFIs and RFCs? In this guest article from 
@WholeWhale
, learn how each differ and how to use them to reach the consulting help you need:  https://nonprofit.ist/when-to-use-rfp-rfi-rfc…

#nonprofit #RFP #nonprofitconsulting",2,0,3,1,0,5.357142857,"Do you know the difference between RFPs, RFIs and RFCs? In this guest article from 

, learn how each differ and how to use them to reach the consulting help you need:  

  ",151,0.013245033
Nonprofit.ist,"Take a listen to this 
@smallnonprofits
 episode with hosts 
@bacon_world
 (http://Nonprofit.ist expert!) and Sarah Brooks. There is help for nonprofits out there! --> https://nonprofitradioshow.com/2022/08/10/episode-53-who-to-call-when-you-need-help/… 

#podcast #nonprofit #nonprofitconsulting",1,0,3,0,0,5.888888889,"Take a listen to this 

 episode with hosts 

 ( expert!) and Sarah Brooks. There is help for nonprofits out there! -->  

  ",151,0.006622517
Nonprofit.ist,"Have questions about finding a nonprofit consultant? Looking for info on the different ways to get help? Want to download toolkits that help you and your nonprofit find success? Check out our Nonprofit resources page --> https://nonprofit.ist/npresources

#nonprofit #nonprofitconsulting",0,0,2,3,0,6.523809524,"Have questions about finding a nonprofit consultant? Looking for info on the different ways to get help? Want to download toolkits that help you and your nonprofit find success? Check out our Nonprofit resources page --> 

 ",151,0
Nonprofit.ist,"If you're looking for tips on successful RFPs, RFIs and RFCs, check out this guest article from 
@WholeWhale
! --> https://nonprofit.ist/when-to-use-rfp-rfi-rfc…

#nonprofit #nonprofitconsulting #nonprofitconsultants",0,0,3,0,0,5.5,"If you're looking for tips on successful RFPs, RFIs and RFCs, check out this guest article from 

! --> 

  ",151,0
Nonprofit.ist,"Should your nonprofit join the latest social media channel? Here are some great things to consider before you join a platform. 

Want additional help? Comms & marketing consultants in the http://Nonprofit.ist directory can help you strategize: https://nonprofit.ist/expert/marketing-and-communications…",1,0,0,2,0,6.7,"Should your nonprofit join the latest social media channel? Here are some great things to consider before you join a platform. 

Want additional help? Comms & marketing consultants in the  directory can help you strategize: ",151,0.006622517
Joan Garry,"Before you join a board, how can you know what you’re getting yourself into? Here are 5 questions you should ask before you say yes.",2,0,0,1,0,4.777777778,"Before you join a board, how can you know what you’re getting yourself into? Here are 5 questions you should ask before you say yes.",6147,0.000325362
Joan Garry,Let's set a realistic goal for today... What’s ONE thing you plan to accomplish today? #TheONEThing,1,1,1,1,0,5.181818182,Let's set a realistic goal for today... What’s ONE thing you plan to accomplish today? ,6147,0.000325362
Joan Garry,"As a board member, it is so important to bring your voice — starting from day one!

Your organization needs the unique perspective that only YOU can bring. 

#NonprofitBoard #NonprofitBoardMember #NonprofitOrganization",8,0,3,0,0,6.384615385,"As a board member, it is so important to bring your voice — starting from day one!

Your organization needs the unique perspective that only YOU can bring. 

  ",6147,0.001301448
Joan Garry,"Do you ever find yourself struggling with the strategic planning process? Many nonprofit leaders do.

But according to my guest in today's podcast episode, 
@RobertRaben
 (founder of 
@TheRabenGroup
) strategy work is a lot like love...tune in to learn why:",5,0,0,1,0,6.428571429,"Do you ever find yourself struggling with the strategic planning process? Many nonprofit leaders do.

But according to my guest in today's podcast episode, 

 (founder of 

) strategy work is a lot like love...tune in to learn why:",6147,0.000813405
Joan Garry,"Have you ever said the words, “I can’t find board members”?

Find the answers you need here:",4,0,0,1,0,4.8,"Have you ever said the words, “I can’t find board members”?

Find the answers you need here:",6147,0.000650724
Joan Garry,"A poorly constructed advisory board can cause more problems than it solves.

So how can you make an advisory board really count?

By having a clear idea of why your organization needs one and who should be serving on it. Keep reading to get the scoop:",0,0,0,1,0,6,"A poorly constructed advisory board can cause more problems than it solves.

So how can you make an advisory board really count?

By having a clear idea of why your organization needs one and who should be serving on it. Keep reading to get the scoop:",6147,0
Joan Garry,"In this episode I chat with 
@annmei
, CEO of 
@CandidDotOrg
, an organization that works to connect those who want to give with those who are working hard to make a difference.

Tune in to learn how Candid can help you fund your mission:",8,1,0,0,0,5.611111111,"In this episode I chat with 

, CEO of 

, an organization that works to connect those who want to give with those who are working hard to make a difference.

Tune in to learn how Candid can help you fund your mission:",6147,0.001464129
Joan Garry,"Post-meeting *crickets*. Rubber stamping. Board meetings that feel more like ""show & tell"" rather than shared leadership.

These could be the signs of a disengaged board — or, it could be a sign that your board members don't know the value of their input:",0,0,0,0,0,5.92,"Post-meeting *crickets*. Rubber stamping. Board meetings that feel more like ""show & tell"" rather than shared leadership.

These could be the signs of a disengaged board — or, it could be a sign that your board members don't know the value of their input:",6147,0
Joan Garry,"It's time to take charge & build the board you want. 

What's 1 thing you can take action on today (no matter how small it seems) to improve the effectiveness of your board?

This jampacked workshop has some practical strategies to help you get started: https://nonprofitleadershiplab.com/free/fixmyboard/…",3,0,0,1,0,6,"It's time to take charge & build the board you want. 

What's 1 thing you can take action on today (no matter how small it seems) to improve the effectiveness of your board?

This jampacked workshop has some practical strategies to help you get started: ",6147,0.000488043
Joan Garry,"To every nonprofit executive director, staff member, and volunteer...

Thank you for answering the call and touching the work — I don't know what we'd do without you. #HappyLaborDay #Nonprofits",19,0,2,0,0,6.1875,"To every nonprofit executive director, staff member, and volunteer...

Thank you for answering the call and touching the work — I don't know what we'd do without you.  ",6147,0.003090939
